Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS3_Category,,,,2023-09-08 21:29:49,2023-09-08 21:30:56,1m - 7.378s,PASSED
,,,,,,,
Test Cases/TC_Category/TC1_Access-Category-Page,,,,2023-09-08 21:29:49,2023-09-08 21:30:09,19.376s,PASSED
"callTestCase(findTestCase(""Reusable-Test/TC0_Launch-Exist-App""), [:], STOP_ON_FAILURE)",,,,2023-09-08 21:29:50,2023-09-08 21:30:02,12.752s,PASSED
"verifyElementVisible(findTestObject(""Category/btn_category-navbar""), 0)",,,,2023-09-08 21:30:02,2023-09-08 21:30:04,1.299s,PASSED
"tap(findTestObject(""Category/btn_category-navbar""), 0)",,,,2023-09-08 21:30:04,2023-09-08 21:30:05,1.188s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_title-category-catgory""), 0)",,,,2023-09-08 21:30:05,2023-09-08 21:30:05,0.208s,PASSED
"verifyElementVisible(findTestObject(""Category/btn_search-category""), 0)",,,,2023-09-08 21:30:05,2023-09-08 21:30:05,0.155s,PASSED
"verifyElementVisible(findTestObject(""Category/btn_cart-category""), 0)",,,,2023-09-08 21:30:05,2023-09-08 21:30:05,0.178s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_eg-category""), 0)",,,,2023-09-08 21:30:05,2023-09-08 21:30:06,0.162s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_eg-category""), 0)",,,,2023-09-08 21:30:06,2023-09-08 21:30:06,0.281s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_eg-items-category""), 0)",,,,2023-09-08 21:30:06,2023-09-08 21:30:06,0.216s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_fashions-category""), 0)",,,,2023-09-08 21:30:06,2023-09-08 21:30:06,0.171s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_fashions-category""), 0)",,,,2023-09-08 21:30:06,2023-09-08 21:30:06,0.154s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_fashion-items-category""), 0)",,,,2023-09-08 21:30:06,2023-09-08 21:30:07,0.193s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_baby-gear-category""), 0)",,,,2023-09-08 21:30:07,2023-09-08 21:30:07,0.170s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_baby-gear-category""), 0)",,,,2023-09-08 21:30:07,2023-09-08 21:30:07,0.221s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_baby-gear-items-category""), 0)",,,,2023-09-08 21:30:07,2023-09-08 21:30:07,0.172s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_hf-category""), 0)",,,,2023-09-08 21:30:07,2023-09-08 21:30:07,0.184s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_hf-category""), 0)",,,,2023-09-08 21:30:07,2023-09-08 21:30:07,0.148s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_hf-items-category""), 0)",,,,2023-09-08 21:30:07,2023-09-08 21:30:08,0.147s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_hs-category""), 0)",,,,2023-09-08 21:30:08,2023-09-08 21:30:08,0.138s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_hs-category""), 0)",,,,2023-09-08 21:30:08,2023-09-08 21:30:08,0.259s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_hf-items-category""), 0)",,,,2023-09-08 21:30:08,2023-09-08 21:30:08,0.167s,PASSED
"verifyElementVisible(findTestObject(""Category/icon_oi-category""), 0)",,,,2023-09-08 21:30:08,2023-09-08 21:30:08,0.155s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_oi-category""), 0)",,,,2023-09-08 21:30:08,2023-09-08 21:30:08,0.171s,PASSED
"verifyElementVisible(findTestObject(""Category/txt_oi-items-category""), 0)",,,,2023-09-08 21:30:08,2023-09-08 21:30:09,0.185s,PASSED
,,,,,,,
Test Cases/TC_Category/TC2_Order-Search-Product-From-Category,,,,2023-09-08 21:30:09,2023-09-08 21:30:56,47.771s,PASSED
"callTestCase(findTestCase(""TC_Category/TC1_Access-Category-Page""), [:], STOP_ON_FAILURE)",,,,2023-09-08 21:30:09,2023-09-08 21:30:22,13.340s,PASSED
"tap(findTestObject(""Category/btn_fashions-category""), 0)",,,,2023-09-08 21:30:22,2023-09-08 21:30:22,0.200s,PASSED
"tap(findTestObject(""Category/Fashions/btn_product-man-batik-category_fashion""), 0)",,,,2023-09-08 21:30:22,2023-09-08 21:30:24,1.387s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/txt_product-title-men-batik-category_fashion""), 0)",,,,2023-09-08 21:30:24,2023-09-08 21:30:24,0.333s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/txt_product-price-25usd-category_fashion""), 0)",,,,2023-09-08 21:30:24,2023-09-08 21:30:26,1.411s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/txt_product-count-28itemsmen-batik-category_fashion""), 0)",,,,2023-09-08 21:30:26,2023-09-08 21:30:26,0.093s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/btn_add-to-cart-men-batik-category_fashion""), 0)",,,,2023-09-08 21:30:26,2023-09-08 21:30:26,0.109s,PASSED
"tap(findTestObject(""Category/Fashions/btn_add-to-cart-men-batik-category_fashion""), 0)",,,,2023-09-08 21:30:26,2023-09-08 21:30:26,0.188s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/card_product-men-batik-category_fashion""), 0)",,,,2023-09-08 21:30:26,2023-09-08 21:30:27,1.110s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/txt_product-order-men-batik-category_fashion""), 0)",,,,2023-09-08 21:30:27,2023-09-08 21:30:27,0.103s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/btn_cancel-product-men-batik-category_fashion""), 0)",,,,2023-09-08 21:30:27,2023-09-08 21:30:27,0.114s,PASSED
"verifyElementVisible(findTestObject(""Category/Fashions/btn_add-product-men-batik-category_fashion""), 0)",,,,2023-09-08 21:30:27,2023-09-08 21:30:27,0.126s,PASSED
"setText(findTestObject(""Category/Fashions/input_product-men-batik-category_fashion""), ""10"", 5)",,,,2023-09-08 21:30:27,2023-09-08 21:30:28,0.838s,PASSED
